Sum of Average_Salary,Year,Quarter,Month,Day,Email,Q1 - Which Title Best Fits your Current Role?.1,Sum of Q10 - Current Age,Q11 - Which Country do you live in?.1,Q12 - Highest Level of Education,Q13 - Ethnicity,Q2 - Did you switch careers into Data?,Q3 - Current Yearly Salary (in USD),Q4 - What Industry do you work in?.1,Q5 - Favorite Programming Language.1,Q5 - Favorite Programming Language.2,Sum of Q6 - How Happy are you in your Current Position with the following? (Coworkers),Sum of Q6 - How Happy are you in your Current Position with the following? (Learning New Things),Sum of Q6 - How Happy are you in your Current Position with the following? (Management),Sum of Q6 - How Happy are you in your Current Position with the following? (Salary),Sum of Q6 - How Happy are you in your Current Position with the following? (Upward Mobility),Sum of Q6 - How Happy are you in your Current Position with the following? (Work/Life Balance),Q7 - How difficult was it for you to break into Data?,"Q8 - If you were to look for a new job today, what would be the most important thing to you?",Q9 - Male/Female?,Time Spent,Time Taken (America/New_York),Unique ID
75.5,2022,Qtr 2,June,10,anonymous,Data Engineer,45,Canada,Masters,White or Caucasian,Yes,66k-85k,Other,Python,,7,7,6,5,6,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:05,1899-12-30 09:48:00,62a34bb0f3072dd892624210
187.5,2022,Qtr 2,June,10,anonymous,Other,35,Canada,"",White or Caucasian,Yes,150k-225k,Finance,R,,7,10,10,10,7,6,Very Easy,Remote Work,Female,1899-12-30 00:02:10,1899-12-30 08:43:00,62a33c8624a26260273822f9
53,2022,Qtr 2,June,10,anonymous,Other,24,Canada,Bachelors,Asian or Asian American,Yes,41k-65k,Other,R,,5,4,6,3,3,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:06,1899-12-30 09:34:00,62a348650f8c8599d5af2b77
53,2022,Qtr 2,June,10,anonymous,Student/Looking/None,26,Canada,"",Asian or Asian American,No,41k-65k,Tech,R,,8,3,6,7,8,8,Very Difficult,Better Salary,Female,1899-12-30 00:01:05,1899-12-30 08:49:00,62a33dbdd8c00e9f5419cd65
53,2022,Qtr 2,June,10,anonymous,Student/Looking/None,34,Canada,Associates,Asian or Asian American,Yes,41k-65k,Other,Python,,6,1,1,2,1,4,Very Difficult,Better Salary,Male,1899-12-30 00:02:38,1899-12-30 11:04:00,62a35d8f575fa3a5ae88efd6
75.5,2022,Qtr 2,June,11,anonymous,Data Analyst,30,Canada,Bachelors,Asian or Asian American,Yes,66k-85k,Finance,Python,,3,1,4,6,5,8,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:31,1899-12-30 06:26:00,62a46dbecf25554317319e48
95.5,2022,Qtr 2,June,11,anonymous,Data Scientist,30,Canada,Masters,Asian or Asian American,Yes,86k-105k,Other,Python,,10,8,9,6,6,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:43,1899-12-30 22:13:00,62a54bccf3072dd89264a13b
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,23,Canada,Bachelors,Asian or Asian American,Yes,0-40k,Other,Python,,6,3,2,0,0,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:26,1899-12-30 14:57:00,62a4e5aed8c00e9f541bf48c
53,2022,Qtr 2,June,12,anonymous,Data Analyst,30,Canada,Masters,Asian or Asian American,Yes,41k-65k,Construction,Other,Php,1,3,2,1,2,4,Easy,Better Salary,Female,1899-12-30 00:03:16,1899-12-30 22:29:00,62a6a11a0a77c1a77f69b7cb
53,2022,Qtr 2,June,12,anonymous,Data Analyst,23,Canada,Masters,Black or African American,No,41k-65k,Other,Python,,5,3,2,5,3,6,Easy,Remote Work,Male,1899-12-30 00:02:53,1899-12-30 14:43:00,62a633b4d8c00e9f541d54a4
53,2022,Qtr 2,June,13,anonymous,Data Analyst,26,Canada,Masters,Asian or Asian American,Yes,41k-65k,Other,Python,,10,8,10,6,10,10,Difficult,Better Salary,Female,1899-12-30 00:01:46,1899-12-30 16:05:00,62a7988bbae91e4b8b88b8ee
75.5,2022,Qtr 2,June,13,anonymous,Data Analyst,32,Canada,Masters,Asian or Asian American,Yes,66k-85k,Finance,Other,SAS SQL,5,4,5,5,5,8,Easy,Remote Work,Male,1899-12-30 00:01:26,1899-12-30 09:32:00,62a73c5b0a77c1a77f6aba65
187.5,2022,Qtr 2,June,13,anonymous,Data Engineer,37,Canada,Bachelors,Asian or Asian American,No,150k-225k,Real Estate,Python,,3,3,2,4,3,6,Neither easy nor difficult,Good Culture,Male,1899-12-30 00:01:13,1899-12-30 22:08:00,62a7ed9c0f8c8599d5b57132
95.5,2022,Qtr 2,June,14,anonymous,Data Architect,31,Canada,High School,White or Caucasian,No,86k-105k,Other,Python,,3,5,1,5,4,1,Difficult,Good Work/Life Balance,Male,1899-12-30 00:01:36,1899-12-30 09:35:00,62a88e9ff8d5efcc22ff1eb6
75.5,2022,Qtr 2,June,15,anonymous,Data Analyst,26,Canada,Bachelors,Asian or Asian American,Yes,66k-85k,Tech,Python,,7,9,7,5,8,9,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:06,1899-12-30 10:43:00,62a9f0172e54c9003e5cdc25
53,2022,Qtr 2,June,16,anonymous,Data Analyst,27,Canada,Bachelors,White or Caucasian,Yes,41k-65k,Tech,Python,,6,5,6,3,5,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:11,1899-12-30 15:25:00,62ab83a7d8c00e9f54263d2e
20,2022,Qtr 2,June,22,anonymous,Student/Looking/None,25,Canada,Bachelors,Asian or Asian American,No,0-40k,Tech,R,,0,0,0,0,0,0,Neither easy nor difficult,Good Culture,Female,1899-12-30 00:01:11,1899-12-30 13:33:00,62b35284cec54911e9e1818c
20,2022,Qtr 2,June,10,anonymous,Data Analyst,31,India,"",Asian or Asian American,No,0-40k,Tech,Python,,6,7,6,4,7,6,Easy,Good Work/Life Balance,Male,1899-12-30 00:02:21,1899-12-30 08:51:00,62a33e63cec54911e9ca4f99
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,India,"",Asian or Asian American,Yes,0-40k,Other,Python,,8,7,7,8,7,7,Difficult,Good Work/Life Balance,Male,1899-12-30 00:03:30,1899-12-30 08:53:00,62a33ee0bae91e4b8b82eaec
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,India,"",Other (Please Specify):Indian,No,0-40k,Tech,Other,SQL,8,10,8,8,5,8,Easy,Better Salary,Female,1899-12-30 00:02:32,1899-12-30 09:02:00,62a340f5bc6861bf3176caa4
20,2022,Qtr 2,June,10,anonymous,Data Analyst,21,India,Bachelors,Asian or Asian American,No,0-40k,Finance,Python,,4,5,4,1,4,2,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:03:30,1899-12-30 11:29:00,62a3636c2e54c9003e536e6b
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,5,2,4,3,3,3,Difficult,Other (Please Specify):Good opportunities in projects and learnjng,Female,1899-12-30 00:02:11,1899-12-30 14:05:00,62a387e6575fa3a5ae8940a1
20,2022,Qtr 2,June,10,anonymous,Data Analyst,29,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,4,2,5,3,4,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:02:27,1899-12-30 14:13:00,62a389b70f8c8599d5afad1a
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,India,Bachelors,Asian or Asian American,Yes,0-40k,Other,Python,,5,7,7,6,5,3,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:02,1899-12-30 14:58:00,62a3944024a262602738cb07
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,C/C++,,0,5,2,0,2,0,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:32,1899-12-30 09:40:00,62a349e6b4da29969c63000c
20,2022,Qtr 2,June,10,anonymous,Data Analyst,25,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,1,2,0,0,0,1,Difficult,Better Salary,Male,1899-12-30 00:02:07,1899-12-30 11:45:00,62a3670b575fa3a5ae890422
20,2022,Qtr 2,June,10,anonymous,Data Analyst,33,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,5,8,6,5,6,10,Very Difficult,Better Salary,Male,1899-12-30 00:02:40,1899-12-30 22:53:00,62a403bbf8d5efcc22f8eb18
53,2022,Qtr 2,June,10,anonymous,Data Analyst,23,India,Bachelors,Asian or Asian American,Yes,41k-65k,Finance,Python,,9,8,9,8,9,9,Very Difficult,Better Salary,Male,1899-12-30 00:01:41,1899-12-30 09:33:00,62a3483018134ddc75cea4e6
53,2022,Qtr 2,June,10,anonymous,Data Analyst,23,India,Bachelors,Asian or Asian American,Yes,41k-65k,Tech,Python,,10,9,8,3,9,9,Easy,Better Salary,Male,1899-12-30 00:01:28,1899-12-30 09:16:00,62a34425f8d5efcc22f7d525
20,2022,Qtr 2,June,10,anonymous,Data Analyst,22,India,Bachelors,Other (Please Specify):Indian,No,0-40k,Tech,Python,,7,7,5,3,8,8,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:54,1899-12-30 14:53:00,62a393330a77c1a77f6662e4
20,2022,Qtr 2,June,10,anonymous,Data Analyst,35,India,Bachelors,Other (Please Specify):Indian,Yes,0-40k,Finance,Python,,1,1,1,1,1,1,Very Difficult,Better Salary,Male,1899-12-30 00:02:51,1899-12-30 12:25:00,62a370635d257a28a30de5eb
53,2022,Qtr 2,June,10,anonymous,Data Analyst,29,India,Masters,Asian or Asian American,No,41k-65k,Other,Python,,3,,3,0,3,3,Difficult,Remote Work,Male,1899-12-30 00:04:44,1899-12-30 12:01:00,62a36ad1f408bae018ed9793
20,2022,Qtr 2,June,10,anonymous,Data Analyst,31,India,Masters,Asian or Asian American,Yes,0-40k,Tech,R,,4,2,4,3,4,4,Easy,Better Salary,Male,1899-12-30 00:01:45,1899-12-30 16:36:00,62a3ab320f8c8599d5afdfa8
95.5,2022,Qtr 2,June,10,anonymous,Data Scientist,26,India,Bachelors,Hispanic or Latino,Yes,86k-105k,Other,Python,,8,9,8,6,7,5,Easy,Good Work/Life Balance,Male,1899-12-30 00:02:29,1899-12-30 23:31:00,62a40c99575fa3a5ae89de4b
137.5,2022,Qtr 2,June,10,anonymous,Data Scientist,27,India,Bachelors,Other (Please Specify):Indian,Yes,125k-150k,Telecommunication,Python,,1,7,3,2,1,4,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:51,1899-12-30 11:09:00,62a35e970a77c1a77f66035a
20,2022,Qtr 2,June,10,anonymous,Other,23,India,Bachelors,Asian or Asian American,No,0-40k,Other,Python,,6,4,5,3,,3,Difficult,Good Work/Life Balance,Male,1899-12-30 00:04:30,1899-12-30 14:31:00,62a38de50f8c8599d5afb3e7
53,2022,Qtr 2,June,10,anonymous,Other,25,India,Bachelors,Asian or Asian American,No,41k-65k,Finance,Python,,3,1,0,3,0,3,Difficult,Good Work/Life Balance,Male,1899-12-30 00:03:06,1899-12-30 14:48:00,62a39214f8f756164585c6b6
20,2022,Qtr 2,June,10,anonymous,Other,23,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,5,1,5,5,5,5,Neither easy nor difficult,Other (Please Specify):My passion is to become a Data analyst,Male,1899-12-30 00:02:17,1899-12-30 09:19:00,62a344c6f8d5efcc22f7d6e1
20,2022,Qtr 2,June,10,anonymous,Other,28,India,Masters,Asian or Asian American,No,0-40k,Education,Python,,1,2,0,1,0,1,Easy,Good Work/Life Balance,Female,1899-12-30 00:00:53,1899-12-30 10:16:00,62a35236b4da29969c631214
20,2022,Qtr 2,June,10,anonymous,Other,25,India,Masters,Asian or Asian American,No,0-40k,Tech,Python,,5,1,5,0,3,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:26,1899-12-30 09:57:00,62a34dbb5d257a28a30d9a61
20,2022,Qtr 2,June,10,anonymous,Other,25,India,Masters,Other (Please Specify):Indian,Yes,0-40k,Healthcare,Python,,8,6,5,10,0,2,Easy,Better Salary,Male,1899-12-30 00:03:43,1899-12-30 11:55:00,62a36969f8f756164585821d
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,23,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,8,0,0,7,0,5,Neither easy nor difficult,Good Culture,Female,1899-12-30 00:01:03,1899-12-30 09:13:00,62a34383b4da29969c62f1be
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,31,India,Bachelors,Asian or Asian American,Yes,0-40k,Finance,Python,,5,3,2,4,2,3,Difficult,Good Culture,Male,1899-12-30 00:01:30,1899-12-30 13:16:00,62a37c50cec54911e9cacee2
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,22,India,Bachelors,Asian or Asian American,Yes,0-40k,Other,Python,,3,3,3,2,2,2,Difficult,Good Work/Life Balance,Male,1899-12-30 00:04:01,1899-12-30 22:48:00,62a40276bc6861bf3177e6fd
115.5,2022,Qtr 2,June,10,anonymous,Student/Looking/None,22,India,Bachelors,Asian or Asian American,Yes,106k-125k,Healthcare,Python,,7,7,5,5,7,5,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:02:41,1899-12-30 09:17:00,62a3445dcf255543173011e1
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,27,India,Bachelors,Other (Please Specify):Brown,No,0-40k,Tech,Python,,5,5,4,3,4,5,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:48,1899-12-30 10:23:00,62a353f07dc029e2d66c1783
20,2022,Qtr 2,June,10,anonymous,Student/Looking/None,23,India,Bachelors,Other (Please Specify):Indian,No,0-40k,Tech,R,,0,0,0,0,0,0,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:09,1899-12-30 09:27:00,62a346b4bc6861bf3176d7ce
20,2022,Qtr 2,June,11,anonymous,Data Analyst,26,India,Bachelors,Asian or Asian American,No,0-40k,Other,Python,,0,0,0,0,0,0,Easy,Good Work/Life Balance,Female,1899-12-30 00:02:43,1899-12-30 05:12:00,62a45c8bf3072dd89263a493
20,2022,Qtr 2,June,11,anonymous,Data Analyst,26,India,Bachelors,Asian or Asian American,Yes,0-40k,Finance,Python,,,,,2,,,Very Easy,Better Salary,Male,1899-12-30 00:00:59,1899-12-30 00:18:00,62a41795cec54911e9cb8854
20,2022,Qtr 2,June,11,anonymous,Data Analyst,21,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,3,3,3,2,3,3,Difficult,Better Salary,Male,1899-12-30 00:01:05,1899-12-30 03:40:00,62a446faf8f7561645868c60
20,2022,Qtr 2,June,11,anonymous,Data Analyst,26,India,Bachelors,Other (Please Specify):Indian,Yes,0-40k,Healthcare,Python,,6,6,5,7,6,4,Difficult,Remote Work,Male,1899-12-30 00:02:01,1899-12-30 01:51:00,62a42d6ef8d5efcc22f9178a
20,2022,Qtr 2,June,11,anonymous,Data Analyst,26,India,Masters,Asian or Asian American,No,0-40k,Finance,Python,,9,9,9,8,9,9,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:53,1899-12-30 13:27:00,62a4d08bf3072dd892642d2c
20,2022,Qtr 2,June,11,anonymous,Data Analyst,33,India,Masters,Asian or Asian American,Yes,0-40k,Finance,Python,,5,3,5,2,2,2,Very Difficult,Good Work/Life Balance,Female,1899-12-30 00:01:02,1899-12-30 13:25:00,62a4cffeb4da29969c64f6a1
20,2022,Qtr 2,June,11,anonymous,Data Analyst,35,India,Masters,Asian or Asian American,Yes,0-40k,Tech,Python,,3,7,6,2,6,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:24,1899-12-30 12:36:00,62a4c49a575fa3a5ae8aadf4
20,2022,Qtr 2,June,11,anonymous,Data Engineer,28,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,1,3,0,0,1,4,Easy,Better Salary,Male,1899-12-30 00:02:01,1899-12-30 04:24:00,62a4514ff408bae018eea94d
115.5,2022,Qtr 2,June,11,anonymous,Data Engineer,25,India,Masters,Asian or Asian American,Yes,106k-125k,Tech,Python,,4,6,4,4,5,4,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:00:56,1899-12-30 11:18:00,62a4b23f5d257a28a30f6b8c
20,2022,Qtr 2,June,11,anonymous,Data Scientist,26,India,Masters,Other (Please Specify):Indian,No,0-40k,Finance,Python,,8,4,6,7,6,7,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:43,1899-12-30 11:08:00,62a4afd87dc029e2d66ddb24
20,2022,Qtr 2,June,11,anonymous,Other,33,India,Bachelors,Asian or Asian American,No,0-40k,Other,Other,SQL,3,4,6,6,6,3,Very Easy,Other (Please Specify):Learning new skills,Male,1899-12-30 00:02:02,1899-12-30 11:21:00,62a4b2e5f8f75616458712af
20,2022,Qtr 2,June,11,anonymous,Other,24,India,Bachelors,Asian or Asian American,No,0-40k,Tech,R,,4,1,1,2,1,1,Easy,Good Work/Life Balance,Male,1899-12-30 00:02:30,1899-12-30 07:36:00,62a47e3ef3072dd89263c8c0
20,2022,Qtr 2,June,11,anonymous,Other,23,India,Masters,Asian or Asian American,Yes,0-40k,Finance,Python,,4,3,2,3,2,2,Difficult,Better Salary,Male,1899-12-30 00:02:44,1899-12-30 11:11:00,62a4b085cec54911e9cc3afe
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,92,India,Masters,Asian or Asian American,No,0-40k,Other,Python,,6,3,5,5,1,6,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:04:03,1899-12-30 03:04:00,62a43e86f408bae018ee913a
20,2022,Qtr 2,June,11,anonymous,Student/Looking/None,24,India,Masters,Asian or Asian American,Yes,0-40k,Education,Python,,2,1,2,0,1,1,Neither easy nor difficult,Better Salary,Female,1899-12-30 00:01:34,1899-12-30 03:07:00,62a43f43f408bae018ee9281
20,2022,Qtr 2,June,12,anonymous,Data Analyst,26,India,Bachelors,Asian or Asian American,No,0-40k,Healthcare,Python,,8,7,7,6,6,7,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:03:19,1899-12-30 04:52:00,62a5a931cec54911e9cd3333
20,2022,Qtr 2,June,12,anonymous,Data Analyst,21,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,8,9,7,8,7,7,Easy,Other (Please Specify):Opportunity to learn,Female,1899-12-30 00:01:35,1899-12-30 02:43:00,62a58b267dc029e2d66ea3f8
95.5,2022,Qtr 2,June,12,anonymous,Data Analyst,47,India,Masters,American Indian or Alaska Native,Yes,86k-105k,Finance,Python,,4,4,4,3,4,3,Difficult,Good Culture,Male,1899-12-30 00:01:57,1899-12-30 04:17:00,62a5a124cec54911e9cd29f5
20,2022,Qtr 2,June,12,anonymous,Data Analyst,35,India,Masters,Asian or Asian American,No,0-40k,Finance,Python,,2,6,5,2,5,3,Neither easy nor difficult,Remote Work,Female,1899-12-30 00:01:41,1899-12-30 06:23:00,62a5bea05d257a28a3106f7e
53,2022,Qtr 2,June,12,anonymous,Data Analyst,22,India,Masters,Asian or Asian American,No,41k-65k,Tech,Python,,9,10,10,9,10,7,Neither easy nor difficult,Good Work/Life Balance,Female,1899-12-30 00:02:48,1899-12-30 12:43:00,62a617c30a77c1a77f6925fc
20,2022,Qtr 2,June,12,anonymous,Data Engineer,28,India,Bachelors,Asian or Asian American,Yes,0-40k,Other,Python,,6,7,8,5,7,7,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:01:43,1899-12-30 13:13:00,62a61eb02e54c9003e5697f7
20,2022,Qtr 2,June,12,anonymous,Other,24,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,5,2,4,3,3,5,Difficult,Better Salary,Female,1899-12-30 00:03:59,1899-12-30 16:28:00,62a64c6ecf2555431733a7a4
20,2022,Qtr 2,June,12,anonymous,Other,28,India,Bachelors,Other (Please Specify):Dravidian,No,0-40k,Telecommunication,Python,,8,5,5,3,3,8,Difficult,Better Salary,Male,1899-12-30 00:04:53,1899-12-30 23:16:00,62a6ac1524a26260273c1cd0
20,2022,Qtr 2,June,12,anonymous,Other,25,India,Bachelors,Other (Please Specify):Indian,No,0-40k,Tech,Python,,7,2,7,5,3,8,Difficult,Better Salary,Male,1899-12-30 00:01:58,1899-12-30 23:35:00,62a6b0790a77c1a77f69cb15
20,2022,Qtr 2,June,12,anonymous,Student/Looking/None,23,India,Masters,Asian or Asian American,No,0-40k,Other,Python,,8,7,1,1,3,8,Very Easy,Better Salary,Female,1899-12-30 00:01:52,1899-12-30 10:07:00,62a5f332bc6861bf3179f631
20,2022,Qtr 2,June,13,anonymous,Data Analyst,26,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,8,2,8,7,4,9,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:21,1899-12-30 12:25:00,62a764ffd8c00e9f541f3cc3
53,2022,Qtr 2,June,13,anonymous,Data Analyst,27,India,Bachelors,Asian or Asian American,Yes,41k-65k,Other,Python,,9,10,6,5,7,6,Neither easy nor difficult,Better Salary,Male,1899-12-30 00:01:25,1899-12-30 14:59:00,62a789015d257a28a3132977
20,2022,Qtr 2,June,13,anonymous,Database Developer,23,India,Bachelors,Asian or Asian American,Yes,0-40k,Tech,Python,,7,9,7,5,6,9,Easy,Better Salary,Male,1899-12-30 00:01:08,1899-12-30 12:00:00,62a75f1b575fa3a5ae8e0010
53,2022,Qtr 2,June,13,anonymous,Other,27,India,Bachelors,American Indian or Alaska Native,Yes,41k-65k,Telecommunication,Python,,4,6,5,4,5,5,Difficult,Good Work/Life Balance,Male,1899-12-30 00:01:12,1899-12-30 10:30:00,62a749ebd8c00e9f541efa36
20,2022,Qtr 2,June,14,anonymous,Data Analyst,23,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,4,0,4,3,2,4,Neither easy nor difficult,Good Work/Life Balance,Male,1899-12-30 00:02:07,1899-12-30 13:04:00,62a8bf9e575fa3a5ae907617
20,2022,Qtr 2,June,14,anonymous,Data Analyst,23,India,Bachelors,Asian or Asian American,No,0-40k,Tech,Python,,2,1,1,0,1,1,Neither easy nor difficult,Remote Work,Male,1899-12-30 00:01:27,1899-12-30 05:06:00,62a84f9af408bae018f41e34
20,2022,Qtr 2,June,14,anonymous,Data Analyst,28,India,Bachelors,Other (Please Specify):South Indian,Yes,0-40k,Tech,Python,,5,4,5,1,4,7,Difficult,Better Salary,Male,1899-12-30 00:03:16,1899-12-30 17:33:00,62a8fe9abc6861bf317f0c01
53,2022,Qtr 2,June,14,anonymous,Other,23,India,Bachelors,Asian or Asian American,Yes,41k-65k,Other,Other,SQL,7,6,7,6,7,7,Neither easy nor difficult,Other (Please Specify):Remote too,Male,1899-12-30 00:01:56,1899-12-30 14:02:00,62a8cd29bc6861bf317ea9a2
